City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Caravelas,BR,73.71,clear sky,-17.71,-39.25,Pousada dos Navegantes
3,Rikitea,PF,72.07,overcast clouds,-23.12,-134.97,Pension Maro'i
5,Bintulu,MY,80.6,few clouds,3.17,113.03,900 Boutique INN
8,Lagoa,PT,69.33,clear sky,39.05,-27.98,Casa Das Faias
10,Kapaa,US,86.0,few clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
11,Chabahar,IR,77.0,mist,25.29,60.64,هتل گدروشیا
13,Hilo,US,86.0,few clouds,19.73,-155.09,Hilo Hawaiian Hotel
17,Ribeira Grande,PT,69.4,few clouds,38.52,-28.7,Quinta da Meia Eira
19,Lompoc,US,73.4,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
21,Carnarvon,AU,68.0,clear sky,-24.87,113.63,Hospitality Carnarvon
23,Ponta Do Sol,PT,69.8,broken clouds,32.67,-17.1,Hotel do Campo
25,Atuona,PF,78.58,clear sky,-9.8,-139.03,Villa Enata
29,Yenagoa,NG,74.08,overcast clouds,4.92,6.26,Amba Hotels Limited
36,Lorengau,PG,84.43,light rain,-2.02,147.27,Lorengau Harbourside Hotel
37,Hithadhoo,MV,82.74,light rain,-0.6,73.08,Scoop Guest House
40,Nishihara,JP,84.2,broken clouds,26.18,127.76,Minshuku Agaihama
42,San Quintin,MX,85.96,clear sky,30.48,-115.95,Old Mill Hotel
43,Nichlaul,IN,77.41,clear sky,27.32,83.73,Ambey mobail care
44,Bay Roberts,CA,70.0,clear sky,47.6,-53.26,Stonewall Inn
45,Pelaya,CO,77.5,moderate rain,8.69,-73.66,HOTEL JERCHRIAS
46,Hobyo,SO,77.92,overcast clouds,5.35,48.53,Osmani Hotel
48,Bambous Virieux,MU,68.0,few clouds,-20.34,57.76,Casa Tia Villa
50,Chiredzi,ZW,67.32,overcast clouds,-21.05,31.67,The Nesbitt Arms
53,Yulara,AU,84.2,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
54,Fukue,JP,73.4,few clouds,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
55,Avarua,CK,80.6,scattered clouds,-21.21,-159.78,Paradise Inn
58,Cosala,MX,86.0,overcast clouds,24.41,-106.69,Hotel Real del Conde
59,Charters Towers,AU,80.76,clear sky,-20.1,146.27,Cattleman's Rest Motor Inn
63,Ewa Beach,US,86.0,clear sky,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
68,Balod,IN,72.27,overcast clouds,20.73,81.2,Sai sakshi girls hostel
76,Gat,IL,75.99,clear sky,31.61,34.76,OlusHome
79,Torbay,CA,70.0,overcast clouds,47.67,-52.73,Gallows Cove
80,Santa Rosa,PH,89.01,broken clouds,14.31,121.11,Erlyn’s Sta Rosa City Home
81,Airai,TL,75.79,scattered clouds,-8.93,125.41,Juvinal Martin
83,Canico,PT,69.8,broken clouds,32.63,-16.85,Quinta Splendida Wellness & Botanical Garden
84,Saint-Philippe,RE,69.8,clear sky,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
86,Anupgarh,IN,85.48,clear sky,29.19,73.21,Setia Villa
88,Mecca,SA,79.21,clear sky,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
89,Puerto Del Rosario,ES,71.6,few clouds,28.5,-13.86,Hotel JM Puerto del Rosario
91,Auki,SB,79.59,moderate rain,-8.77,160.7,Auki Motel
92,Ambulu,ID,81.82,few clouds,-8.35,113.61,Hotel Ambulu Jember
94,Kahului,US,87.8,scattered clouds,20.89,-156.47,Maui Seaside Hotel
96,Geraldton,AU,68.0,scattered clouds,-28.77,114.6,Broadwater Mariner Resort
98,Tateyama,JP,68.0,light rain,34.98,139.87,Tateyama Seaside Hotel
101,Butaritari,KI,81.91,clear sky,3.07,172.79,Isles Sunset Lodge
102,Puerto Ayora,EC,66.99,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
104,Bandarbeyla,SO,77.86,overcast clouds,9.49,50.81,REER XOOSHLE GROUP
105,Castro,BR,70.03,light rain,-24.79,-50.01,CHACARA BAILLY
