City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.33,64.0,85,100,5.99,overcast clouds
1,Puerto Ayora,EC,-0.74,-90.35,68.0,89,90,5.99,overcast clouds
2,Avarua,CK,-21.21,-159.78,78.8,78,47,24.16,scattered clouds
3,Thompson,CA,55.74,-97.86,42.8,100,75,2.24,broken clouds
4,Jalingo,NG,8.88,11.37,69.75,93,96,3.06,overcast clouds
5,Hobart,AU,-42.88,147.33,64.99,51,75,17.22,broken clouds
6,Madimba,TZ,-10.4,40.33,68.0,94,20,2.82,few clouds
7,Georgetown,MY,5.41,100.34,86.0,74,20,2.24,light rain
8,Brigantine,US,39.41,-74.36,71.6,94,90,16.11,overcast clouds
9,Port Hedland,AU,-20.32,118.57,100.4,9,67,18.34,broken clouds
10,Port Alfred,ZA,-33.59,26.89,53.24,75,11,6.49,few clouds
11,Bahia De Caraquez,EC,-0.6,-80.42,71.6,83,40,8.05,scattered clouds
12,Hasaki,JP,35.73,140.83,77.0,68,40,11.41,scattered clouds
13,Hithadhoo,MV,-0.6,73.08,83.43,71,100,7.81,overcast clouds
14,Ponta Do Sol,PT,32.67,-17.1,69.8,73,75,9.17,broken clouds
15,Margate,GB,51.38,1.39,57.0,78,100,14.72,overcast clouds
16,Ushuaia,AR,-54.8,-68.3,33.8,80,75,17.22,heavy snow
17,Hermanus,ZA,-34.42,19.23,50.0,81,41,4.0,scattered clouds
18,Camargo,MX,27.67,-105.17,65.17,35,0,5.1,clear sky
19,Teguise,ES,29.06,-13.56,69.8,83,95,8.05,overcast clouds
20,Bethel,US,41.37,-73.41,71.01,98,100,8.9,moderate rain
21,Bronnoysund,NO,65.46,12.2,55.4,76,75,17.22,broken clouds
22,Khorixas,NA,-20.37,14.97,49.98,45,0,0.83,clear sky
23,Butaritari,KI,3.07,172.79,82.56,75,34,13.56,scattered clouds
24,Dikson,RU,73.51,80.55,35.98,80,98,13.71,overcast clouds
25,Faanui,PF,-16.48,-151.75,78.39,79,12,22.68,few clouds
26,Tazovskiy,RU,67.47,78.7,40.17,89,95,11.88,overcast clouds
27,Qaanaaq,GL,77.48,-69.36,13.6,78,0,7.45,clear sky
28,Geraldton,AU,-28.77,114.6,71.6,43,0,8.05,clear sky
29,Albany,US,42.6,-73.97,57.99,90,100,2.73,heavy intensity rain
30,Cayenne,GF,4.93,-52.33,75.2,100,72,2.24,broken clouds
31,Shache,CN,38.42,77.24,69.4,23,20,5.7,few clouds
32,Ribeira Grande,PT,38.52,-28.7,66.36,70,0,8.9,clear sky
33,Olafsvik,IS,64.89,-23.71,38.91,81,51,2.93,broken clouds
34,Esfarayen,IR,37.08,57.51,39.2,44,0,1.07,clear sky
35,Port Elizabeth,ZA,-33.92,25.57,46.4,87,0,4.7,clear sky
36,Mataura,NZ,-46.19,168.86,45.72,95,100,6.49,overcast clouds
37,Hamilton,US,39.18,-84.53,52.0,93,90,5.82,overcast clouds
38,Pareora,NZ,-44.49,171.21,55.0,29,7,5.01,clear sky
39,Bonavista,CA,48.65,-53.11,59.74,91,40,15.97,scattered clouds
40,Bandar-E Lengeh,IR,26.56,54.88,82.4,74,0,6.93,haze
41,Provideniya,RU,64.38,-173.3,44.6,65,90,6.71,overcast clouds
42,Taoudenni,ML,22.68,-3.98,89.58,13,0,4.97,clear sky
43,Yining,CN,29.04,114.56,79.99,57,26,4.16,scattered clouds
44,Iqaluit,CA,63.75,-68.51,30.2,68,75,11.41,broken clouds
45,Mount Gambier,AU,-37.83,140.77,59.0,67,75,19.46,broken clouds
46,Lebu,CL,-37.62,-73.65,46.71,85,95,12.75,light rain
47,New Norfolk,AU,-42.78,147.06,64.99,56,93,1.99,overcast clouds
48,Porto Walter,BR,-8.27,-72.74,72.19,96,89,0.6,overcast clouds
49,Kapaa,US,22.08,-159.32,82.4,69,1,9.17,clear sky
50,Tuktoyaktuk,CA,69.45,-133.04,35.6,100,75,2.24,shower rain
51,Severo-Kurilsk,RU,50.68,156.12,55.04,68,57,9.8,broken clouds
52,Alofi,NU,-19.06,-169.92,82.4,74,75,13.87,broken clouds
53,Kodiak,US,57.79,-152.41,48.2,87,90,34.45,moderate rain
54,Saskylakh,RU,71.92,114.08,31.51,92,10,5.23,clear sky
55,Kendari,ID,-3.94,122.5,83.7,68,97,2.66,overcast clouds
56,Awbari,LY,26.59,12.78,77.59,21,0,6.67,clear sky
57,Souillac,MU,-20.52,57.52,71.6,83,75,11.41,broken clouds
58,Zhanaozen,KZ,43.3,52.8,52.45,45,0,16.06,clear sky
59,Broome,US,42.25,-75.83,55.0,100,90,8.05,heavy intensity rain
60,Corato,IT,41.15,16.41,55.0,81,41,4.7,scattered clouds
61,Mana,GF,5.66,-53.78,78.66,85,96,7.2,overcast clouds
62,Prince Rupert,CA,54.32,-130.32,55.4,93,1,2.24,clear sky
63,Melo,UY,-32.37,-54.18,50.59,91,0,3.89,clear sky
64,Toora-Khem,RU,52.47,96.11,40.12,70,100,7.61,overcast clouds
65,Kaitangata,NZ,-46.28,169.85,46.24,83,97,10.89,overcast clouds
66,Coquimbo,CL,-29.95,-71.34,51.8,76,0,5.82,clear sky
67,Sao Sebastiao,BR,-23.76,-45.41,72.09,89,85,8.39,overcast clouds
68,Bambous Virieux,MU,-20.34,57.76,73.0,83,75,11.41,broken clouds
69,Muhos,FI,64.81,25.99,46.4,100,75,6.93,broken clouds
70,Nanortalik,GL,60.14,-45.24,34.25,79,2,15.77,clear sky
71,Flinders,AU,-34.58,150.86,70.0,61,100,4.0,overcast clouds
