City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,El Alto,PE,2020-09-29 23:00:56,-4.27,-81.21,63.14,81,5,15.57
1,Benguela,AO,2020-09-29 23:00:57,-12.58,13.41,71.69,79,100,3.36
2,Magadan,RU,2020-09-29 23:00:57,59.57,150.8,43.84,83,100,2.55
3,Sola,VU,2020-09-29 23:00:58,-13.88,167.55,80.17,82,42,21.07
4,Kapaa,US,2020-09-29 22:53:14,22.08,-159.32,86.0,62,1,6.93
5,Kloulklubed,PW,2020-09-29 23:00:58,7.04,134.26,78.8,88,90,3.36
6,Cap Malheureux,MU,2020-09-29 22:58:01,-19.98,57.61,71.01,83,94,4.0
7,Hithadhoo,MV,2020-09-29 22:52:58,-0.6,73.08,82.99,74,80,8.84
8,Albany,US,2020-09-29 22:53:12,42.6,-73.97,63.0,78,74,3.47
9,Airai,TL,2020-09-29 22:53:22,-8.93,125.41,68.2,52,100,4.0
10,Egvekinot,RU,2020-09-29 23:00:42,66.32,-179.17,33.64,91,84,2.91
11,Puerto Ayora,EC,2020-09-29 22:53:12,-0.74,-90.35,66.99,93,93,8.01
12,Yellowknife,CA,2020-09-29 22:53:11,62.46,-114.35,46.4,70,90,14.99
13,Haines Junction,CA,2020-09-29 22:53:35,60.75,-137.51,46.98,54,87,2.24
14,Mar Del Plata,AR,2020-09-29 22:50:30,-38.0,-57.56,68.0,49,39,9.17
15,Port Hedland,AU,2020-09-29 23:00:59,-20.32,118.57,68.0,42,21,4.7
16,Dubbo,AU,2020-09-29 22:57:53,-32.25,148.62,55.4,82,90,5.82
17,Longyearbyen,SJ,2020-09-29 22:53:17,78.22,15.64,46.4,75,75,18.34
18,Hobart,AU,2020-09-29 22:51:55,-42.88,147.33,53.6,81,75,9.17
19,Bathsheba,BB,2020-09-29 22:54:07,13.22,-59.52,80.6,83,40,16.11
20,Bengkulu,ID,2020-09-29 22:53:04,-3.8,102.27,74.95,86,92,7.09
21,Klaksvik,FO,2020-09-29 22:53:52,62.23,-6.59,50.0,93,13,19.46
22,Bethel,US,2020-09-29 22:53:04,41.37,-73.41,69.8,94,75,5.82
23,Qaanaaq,GL,2020-09-29 22:52:59,77.48,-69.36,14.56,80,0,5.93
24,Khatanga,RU,2020-09-29 22:53:40,71.97,102.5,31.1,99,100,10.13
25,Outjo,NA,2020-09-29 23:01:00,-20.12,16.15,58.6,33,62,6.8
26,Abalak,RU,2020-09-29 23:01:01,58.13,68.59,39.43,74,65,6.53
27,Mataura,NZ,2020-09-29 22:53:03,-46.19,168.86,45.0,92,100,8.01
28,Kamenka,RU,2020-09-29 22:58:51,51.32,42.77,51.01,41,99,12.48
29,Chuy,UY,2020-09-29 22:53:25,-33.7,-53.46,52.77,76,22,8.57
30,Bubaque,GW,2020-09-29 23:01:01,11.28,-15.83,81.97,79,64,8.34
31,Coronado,US,2020-09-29 23:01:02,32.69,-117.18,93.99,61,20,16.11
32,Oktyabrskoye,RU,2020-09-29 23:01:02,43.06,44.74,48.2,93,92,4.47
33,Gemena,CD,2020-09-29 23:01:02,3.25,19.77,69.08,97,65,1.25
34,Mogadishu,SO,2020-09-29 22:59:03,2.04,45.34,77.76,82,0,13.13
35,Quesnel,CA,2020-09-29 23:01:03,53.0,-122.5,60.8,67,40,2.24
36,Zyryanskoye,RU,2020-09-29 23:01:03,56.83,86.63,29.19,96,64,3.76
37,Broome,US,2020-09-29 22:52:55,42.25,-75.83,55.0,93,90,3.36
38,Praya,CV,2020-09-29 23:00:04,14.92,-23.51,78.8,78,40,12.75
39,Vanavara,RU,2020-09-29 22:54:05,60.34,102.28,25.74,95,0,3.53
40,Konin,PL,2020-09-29 23:01:04,52.22,18.25,55.0,91,90,5.08
41,Cabo San Lucas,MX,2020-09-29 22:49:34,22.89,-109.91,91.4,58,5,14.99
42,Hami,CN,2020-09-29 22:55:34,42.8,93.45,47.32,48,0,18.14
43,Busselton,AU,2020-09-29 22:53:04,-33.65,115.33,55.99,90,81,8.3
44,Punta Arenas,CL,2020-09-29 22:52:15,-53.15,-70.92,33.8,79,75,32.21
45,Avarua,CK,2020-09-29 22:53:03,-21.21,-159.78,78.8,78,24,24.16
46,Port Macquarie,AU,2020-09-29 22:55:03,-31.43,152.92,62.01,70,100,10.56
47,Rikitea,PF,2020-09-29 22:52:56,-23.12,-134.97,70.48,79,28,20.13
48,Ponta Do Sol,PT,2020-09-29 22:53:28,32.67,-17.1,69.8,73,75,9.17
49,Abu Dhabi,AE,2020-09-29 23:00:44,24.47,54.37,86.0,62,0,8.05
50,Muroto,JP,2020-09-29 22:53:36,33.28,134.15,66.2,93,75,3.36
51,Mexico,PH,2020-09-29 23:01:05,15.06,120.72,77.0,88,75,2.24
52,Teguise,ES,2020-09-29 23:01:05,29.06,-13.56,73.4,69,20,9.17
53,Mayumba,GA,2020-09-29 23:00:38,-3.43,10.66,75.29,82,90,6.26
54,Katsuura,JP,2020-09-29 22:55:25,35.13,140.3,66.2,68,20,11.41
55,Pihuamo,MX,2020-09-29 23:01:06,19.25,-103.38,78.8,83,75,9.17
56,Aklavik,CA,2020-09-29 22:55:19,68.22,-135.01,39.2,86,90,5.82
57,Isangel,VU,2020-09-29 22:53:01,-19.55,169.27,73.54,79,65,19.22
58,Ushuaia,AR,2020-09-29 22:52:59,-54.8,-68.3,35.6,80,75,26.4
59,Petropavlovsk-Kamchatskiy,RU,2020-09-29 22:53:20,53.05,158.65,44.6,100,90,11.18
60,Belyy Yar,RU,2020-09-29 23:01:06,53.6,91.39,35.6,80,100,8.95
61,Palamos,ES,2020-09-29 22:58:59,41.85,3.13,57.99,46,0,3.44
62,Emerald,AU,2020-09-29 23:00:19,-23.53,148.17,69.8,60,19,13.87
